Address, Size(byte), Modbus Address, Data Name, Access, Initial Value, Range, Unit
550, 2, 40276, Goal Current, RW, -, -Current Limit(38) ~ Current Limit(38), 1 [mA]
552, 4, 40277, Goal Velocity, RW, -, -Velocity Limit(44) ~ Velocity Limit(44), 0.01 [rev/min]
556, 4, 40279, Profile Acceleration, RW, -, 0 ~ Acceleration Limit(40), 1 [rev/min2]
560, 4, 40281, Profile Velocity, RW, -, 0 ~ Velocity Limit(44), 0.01 [rev/min]
564, 4, 40283, Goal Position, RW, -, Min Position Limit(52) ~ Max Position Limit(48), 1[pulse]
568, 2, 40285, Realtime Tick, R, -, 0 ~ 32767, 1 [msec]
570, 1, 40286 (Lo Byte), Moving, R, -, -, -
571, 1, 40286 (Hi Byte), Moving Status, R, -, -, -
572, 2, 40287, Present PWM, R, -, -, -
574, 2, 40288, Present Current, R, -, -, 1 [mA]
576, 4, 40289, Present Velocity, R, -, -, 0.01 [rev/min]
580, 4, 40291, Present Position, R, -, -, 1 [pulse]
584, 4, 40293, Velocity Trajectory, R, -, -, 0.01 [rev/min]
588, 4, 40295, Position Trajectory, R, -, -, 1 [pulse]
592, 2, 40297, Present Input Voltage, R, -, -, 0.1 [V]
594, 1, 40298 (Lo Byte), Present Temperature, R, -, -, 1 [°C]
600, 2, 40301, External Port Data 1, R/RW, 0, 0 ~ 4095, -
602, 2, 40302, External Port Data 2, R/RW, 0, 0 ~ 4095, -
604, 2, 40303, External Port Data 3, R/RW, 0, 0 ~ 4095, -
606, 2, 40304, External Port Data 4, R/RW, 0, 0 ~ 4095, -
634, 1, N/A, Indirect Data 1, RW, 0, 0 ~ 255, -
635, 1, N/A, Indirect Data 2, RW, 0, 0 ~ 255, -
636, 1, N/A, Indirect Data 3, RW, 0, 0 ~ 255, -
…, …,  , …, …, …, …, …
761, 1, N/A, Indirect Data 128, RW, 0, 0 ~ 255, -
